# MEBC contra-rotating propulsor - FRONT rotor blade geometry
# generated,2026-08-24 02:29:09
# architecture,submerged
# D_m,0.378488
# D_in,14.9011
# Z,4
# P07_m,0.715778
# P_over_D_at_0.7R,1.891154
# EAR,0.608959
# hub_diameter_m,0.107972
# rpm,837.417
# thrust_N,437.1014
# torque_Nm,66.0420
# power_W,5791.497
# axial_gap_m,0.050000
# shaft_angle_deg,-2.9511
# NOTE,pitch is nose-tail (chord line) pitch; sections not yet specified
rR,r_m,chord_m,pitch_m,pitch_over_D,pitch_angle_deg,camber_ratio,camber_m,thickness_ratio,thickness_m,skew_deg,rake_deg,x_ref_m,y_ref_m,z_ref_m,x_LE_m,y_LE_m,z_LE_m,x_TE_m,y_TE_m,z_TE_m,solidity,alpha_deg,Re,Cl,Cd,dT_dr_Npm,dQ_dr_Nmpm
0.652563,0.123493,0.153731,0.720610,1.903921,42.8829,0.022957,0.003529,0.071057,0.010924,3.9612,2.5694,0.013471,0.008531,0.123198,-0.038836,0.064720,0.119308,0.065778,-0.047657,0.127089,0.792498,-1.6864,2.1585e+06,0.10339,0.009391,4540.3248,662.5518
0.672416,0.127251,0.151508,0.718588,1.898578,41.9477,0.022712,0.003441,0.067942,0.010294,4.4010,2.7083,0.014804,0.009765,0.126875,-0.035833,0.065941,0.122552,0.065442,-0.046411,0.131199,0.757974,-1.6753,2.1617e+06,0.10152,0.009343,4619.5908,673.4135
0.692270,0.131008,0.148827,0.716566,1.893234,41.0402,0.022467,0.003344,0.064826,0.009648,4.8640,2.8472,0.016197,0.011108,0.130536,-0.032662,0.067032,0.125777,0.065056,-0.044816,0.135295,0.723210,-1.6649,2.1578e+06,0.09959,0.009302,4673.7149,681.0060
0.712124,0.134765,0.145693,0.714543,1.887891,40.1598,0.022221,0.003238,0.061711,0.008991,5.3501,2.9861,0.017649,0.012566,0.134178,-0.029331,0.067996,0.128987,0.064629,-0.042865,0.139369,0.688245,-1.6550,2.1464e+06,0.09759,0.009268,4701.5227,685.1722
0.731977,0.138522,0.142108,0.712521,1.882548,39.3055,0.021976,0.003123,0.058595,0.008327,5.8594,3.1250,0.019160,0.014141,0.137798,-0.025850,0.068834,0.132186,0.064169,-0.040551,0.143411,0.653099,-1.6457,2.1272e+06,0.09554,0.009240,4701.8893,685.7573
0.751831,0.142279,0.138070,0.710499,1.877205,38.4766,0.021731,0.003000,0.055480,0.007660,6.3918,3.2639,0.020729,0.015839,0.141395,-0.022224,0.069548,0.135378,0.063682,-0.037869,0.147411,0.617784,-1.6369,2.0999e+06,0.09343,0.009220,4673.8564,682.6212
0.771684,0.146036,0.133575,0.708476,1.871862,37.6724,0.021486,0.002870,0.052364,0.006995,6.9473,3.4028,0.022356,0.017664,0.144964,-0.018461,0.070140,0.138570,0.063173,-0.034811,0.151358,0.582298,-1.6284,2.0639e+06,0.09127,0.009208,4616.2952,675.5986
0.791538,0.149794,0.128619,0.706454,1.866518,36.8920,0.021241,0.002732,0.049249,0.006334,7.5260,3.5417,0.024040,0.019619,0.148503,-0.014566,0.070609,0.141767,0.062646,-0.031370,0.155240,0.546629,-1.6205,2.0189e+06,0.08907,0.009205,4527.9987,664.5086
0.811391,0.153551,0.123192,0.704432,1.861175,36.1347,0.020996,0.002587,0.046133,0.005683,8.1279,3.6806,0.025782,0.021709,0.152008,-0.010541,0.070957,0.144975,0.062104,-0.027538,0.159042,0.510753,-1.6131,1.9642e+06,0.08681,0.009212,4407.6526,649.1505
0.831245,0.157308,0.117282,0.702409,1.855832,35.3998,0.020751,0.002434,0.043018,0.005045,8.7529,3.8194,0.027580,0.023938,0.155476,-0.006389,0.071181,0.148202,0.061549,-0.023305,0.162750,0.474636,-1.6063,1.8994e+06,0.08447,0.009230,4253.7644,629.2938
0.851098,0.161065,0.110872,0.700387,1.850489,34.6864,0.020506,0.002273,0.039902,0.004424,9.4010,3.9583,0.029435,0.026309,0.158902,-0.002113,0.071280,0.151456,0.060983,-0.018662,0.166348,0.438227,-1.6002,1.8236e+06,0.08206,0.009262,4064.6821,604.6777
0.870952,0.164822,0.103939,0.698365,1.845146,33.9938,0.020260,0.002106,0.036787,0.003824,10.0723,4.0972,0.031346,0.028826,0.162282,0.002290,0.071250,0.154746,0.060402,-0.013598,0.169818,0.401460,-1.5953,1.7361e+06,0.07953,0.009310,3838.3430,574.9791
0.890805,0.168579,0.096455,0.696342,1.839802,33.3214,0.020015,0.001931,0.033671,0.003248,10.7668,4.2361,0.033313,0.031493,0.165612,0.006820,0.071082,0.158083,0.059806,-0.008097,0.173140,0.364250,-1.5918,1.6358e+06,0.07683,0.009378,3571.9908,539.7757
0.910659,0.172337,0.088380,0.694320,1.834459,32.6685,0.019770,0.001747,0.030556,0.002701,11.4844,4.3750,0.035334,0.034312,0.168886,0.011482,0.070767,0.161480,0.059187,-0.002142,0.176293,0.326479,-1.5907,1.5218e+06,0.07387,0.009473,3261.5970,498.4714
0.930513,0.176094,0.079661,0.692298,1.829116,32.0344,0.019525,0.001555,0.027440,0.002186,12.2251,4.5139,0.037411,0.037288,0.172100,0.016284,0.070288,0.164951,0.058538,0.004289,0.179250,0.287992,-1.5930,1.3923e+06,0.07055,0.009603,2904.3505,450.5603
0.950366,0.179851,0.070223,0.690275,1.823773,31.4184,0.019280,0.001354,0.024325,0.001708,12.9890,4.6528,0.039543,0.040424,0.175249,0.021240,0.069621,0.168514,0.057846,0.011227,0.181984,0.248569,-1.5565,1.2438e+06,0.07147,0.009765,2689.1932,416.8209
0.970220,0.183608,0.059956,0.688253,1.818429,30.8199,0.019035,0.001141,0.021209,0.001272,13.7760,4.7917,0.041728,0.043722,0.178326,0.026369,0.068726,0.172196,0.057087,0.018718,0.184457,0.207885,-1.5951,1.0777e+06,0.06416,0.010031,2111.0948,340.5486
0.990073,0.187365,0.048686,0.686231,1.813086,30.2383,0.018790,0.000915,0.018094,0.000881,14.5862,4.9306,0.043968,0.047185,0.181326,0.031709,0.067539,0.176030,0.056227,0.026832,0.186623,0.165424,-1.7116,8.8698e+05,0.04830,0.010462,1279.7307,232.9312
