x_mm,area_mm2,width_mm,height_mm,z_top_mm,z_bot_mm
152.61,245891.0,671.92,457.53,729.50,579.50
161.06,247103.9,673.34,459.01,729.50,579.50
169.51,248313.5,674.76,460.46,729.50,579.50
177.96,249523.4,676.19,461.92,729.50,579.50
186.42,250711.5,677.61,463.37,729.50,579.50
194.87,251921.9,679.04,464.83,729.50,579.50
203.32,253104.3,680.47,466.19,729.50,579.50
211.78,254283.1,681.89,467.55,729.50,579.50
220.23,255476.9,683.32,468.92,729.50,579.50
228.68,256656.6,684.75,470.28,729.50,579.50
237.14,257845.8,686.18,471.63,729.50,579.50
245.59,259006.1,687.61,472.93,729.50,579.50
254.04,260182.4,689.04,474.23,729.50,579.50
262.50,261363.9,690.47,475.53,729.50,579.50
270.95,262548.4,691.90,476.83,729.50,579.50
279.40,263733.6,693.33,478.12,729.50,579.50
287.85,264917.8,694.76,479.39,729.50,579.50
296.31,266107.6,696.19,480.65,729.50,579.50
304.76,267299.4,697.62,481.91,729.50,579.50
313.21,268492.5,699.05,483.18,729.50,579.50
321.67,202345.9,699.68,464.80,729.50,579.50
330.12,175886.1,698.74,449.16,729.50,579.50
338.57,150455.0,697.80,433.53,729.50,579.50
347.03,126052.2,696.86,417.89,729.50,579.50
355.48,102677.8,695.92,402.25,729.50,579.50
363.93,80331.8,694.99,386.61,729.50,579.50
372.39,61604.6,694.05,372.73,729.50,579.50
380.84,58563.7,693.11,369.18,729.50,579.50
389.29,58101.2,692.17,367.37,729.50,579.50
397.74,57656.5,691.23,365.57,729.50,579.50
406.20,57214.0,690.29,363.77,729.50,579.50
414.65,56773.6,689.35,361.97,729.50,579.50
423.10,56335.4,688.41,360.17,729.50,579.50
431.56,55899.4,687.47,358.37,729.50,579.50
440.01,55465.5,686.53,356.57,729.50,579.50
448.46,55033.7,685.59,354.77,729.50,579.50
456.92,54604.2,684.65,352.97,729.50,579.50
465.37,54176.8,683.71,351.17,729.50,579.50
473.82,53751.5,682.78,349.37,729.50,579.50
482.27,53328.4,681.84,347.57,729.50,579.50
