Current_A,CellCurrent_A,CRate,CellHeat_W,CellHeatTotal_W,BusbarHeat_W,TotalHeat_W,SteadyRise_K,SteadyTemp_C,AdiabaticRate_K_s,TimeToLimit_s,SteadyOK
50,2.38095238095238,0.476190476190476,0.0638548752834467,34.8647619047619,3.84603630604249,38.7107982108044,0.35449448910993,25.3544944891099,0.000964610854720899,Inf,1
100,4.76190476190476,0.952380952380952,0.255419501133787,139.459047619048,15.3841452241699,154.843192843218,1.41797795643972,26.4179779564397,0.00385844341888359,Inf,1
150,7.14285714285714,1.42857142857143,0.57469387755102,313.782857142857,34.6143267543824,348.39718389724,3.19045040198937,28.1904504019894,0.00868149769248809,Inf,1
200,9.52380952380952,1.9047619047619,1.02167800453515,557.83619047619,61.5365808966798,619.37277137287,5.67191182575888,30.6719118257589,0.0154337736755344,Inf,1
267,12.7142857142857,2.54285714285714,1.82086008163265,994.189604571429,109.672032888585,1103.86163746001,10.1086230536631,35.1086230536631,0.0275064572888793,Inf,1
300,14.2857142857143,2.85714285714286,2.29877551020408,1255.13142857143,138.45730701753,1393.58873558896,12.7618016079575,37.7618016079575,0.0347259907699524,Inf,1
375,17.8571428571429,3.57142857142857,3.59183673469388,1961.14285714286,216.33954221489,2177.48239935775,19.9403150124336,44.9403150124336,0.0542593605780506,Inf,1
449,21.3809523809524,4.27619047619048,5.14928268480726,2811.50834590476,310.145906133789,3121.65425203855,28.5865773996204,53.5865773996204,0.0777866051690352,442.00587302701,0
