Case,Duty,DensityLimit_A_mm2,Current_A,CellCurrent_A,JointLoss_W,CollectorLoss_W,SeriesLoss_W,TotalLoss_W,VoltageDrop_V,SeriesDensity_A_mm2,RailDensity_A_mm2,DensityOK
"Monaco cap, nominal V",Continuous,5,267.094017094017,12.7187627187627,17.6649482205038,24.5909433616224,67.4933912031647,109.749282785291,0.410901314748129,2.96771130104463,3.17969067969068,1
"Monaco cap, minimum V",Continuous,5,384.615384615385,18.3150183150183,36.6300366300366,50.9917801546602,139.954295998882,227.576112783579,0.591697893237306,4.27350427350427,4.57875457875458,1
"Competr hardware continuous",Continuous,5,375,17.8571428571429,34.8214285714286,48.4740610095238,133.044052633937,216.33954221489,0.576905445906373,4.16666666666667,4.46428571428571,1
"FAULT: cap failure, 42 kW",Peak,8,646.153846153846,30.7692307692308,103.384615384615,143.919200308513,395.007005027245,642.310820720374,0.994052460638673,7.17948717948718,7.69230769230769,1
